,Type,Country,Fatal,Lustro
1621,Unprovoked,USA,N,2001-2005
1622,Unprovoked,AUSTRALIA,N,2001-2005
1623,Unprovoked,USA,N,2001-2005
1625,Unprovoked,PAPUA NEW GUINEA,N,2001-2005
1626,Unprovoked,PAPUA NEW GUINEA,Y,2001-2005
1627,Unprovoked,USA,N,2001-2005
1628,Unprovoked,USA,N,2001-2005
1629,Unprovoked,USA,N,2001-2005
1630,Unprovoked,USA,N,2001-2005
1631,Unprovoked,SOUTH AFRICA,N,2001-2005
1632,Unprovoked,USA,N,2001-2005
1633,Unprovoked,USA,N,2001-2005
1634,Provoked,USA,N,2001-2005
1635,Unprovoked,USA,N,2001-2005
1637,Unprovoked,PAPUA NEW GUINEA,N,2001-2005
1638,Unprovoked,USA,N,2001-2005
1639,Unprovoked,BRAZIL,N,2001-2005
1640,Provoked,AUSTRALIA,N,2001-2005
1641,Unprovoked,AUSTRALIA,Y,2001-2005
1643,Unprovoked,USA,N,2001-2005
1644,Unprovoked,USA,N,2001-2005
1645,Unprovoked,AUSTRALIA,N,2001-2005
1647,Unprovoked,USA,N,2001-2005
1648,Unprovoked,USA,N,2001-2005
1649,Unprovoked,USA,N,2001-2005
1650,Unprovoked,USA,N,2001-2005
1651,Unprovoked,BRAZIL,Y,2001-2005
1652,Unprovoked,USA,N,2001-2005
1653,Unprovoked,USA,N,2001-2005
1654,Unprovoked,USA,N,2001-2005
1657,Unprovoked,AUSTRALIA,N,2001-2005
1659,Unprovoked,AUSTRALIA,N,2001-2005
1660,Unprovoked,AUSTRALIA,N,2001-2005
1661,Unprovoked,AUSTRALIA,N,2001-2005
1662,Unprovoked,SOUTH AFRICA,N,2001-2005
1663,Unprovoked,BRAZIL,Y,2001-2005
1664,Unprovoked,SOUTH AFRICA,N,2001-2005
1665,Unprovoked,USA,N,2001-2005
1667,Unprovoked,AUSTRALIA,N,2001-2005
1668,Unprovoked,USA,N,2001-2005
1670,Unprovoked,SOUTH AFRICA,N,2001-2005
1671,Unprovoked,AUSTRALIA,N,2001-2005
1673,Provoked,AUSTRALIA,N,2001-2005
1674,Provoked,USA,N,2001-2005
1675,Unprovoked,USA,N,2001-2005
1677,Unprovoked,USA,N,2001-2005
1678,Unprovoked,USA,N,2001-2005
1680,Provoked,USA,N,2001-2005
1681,Unprovoked,USA,N,2001-2005
1683,Unprovoked,USA,Y,2001-2005
1684,Unprovoked,USA,N,2001-2005
1685,Unprovoked,USA,N,2001-2005
1686,Unprovoked,USA,Y,2001-2005
1688,Unprovoked,USA,N,2001-2005
1689,Unprovoked,USA,N,2001-2005
1690,Unprovoked,USA,N,2001-2005
1691,Unprovoked,USA,N,2001-2005
1692,Unprovoked,USA,N,2001-2005
1693,Unprovoked,USA,N,2001-2005
1694,Unprovoked,USA,N,2001-2005
1695,Unprovoked,USA,N,2001-2005
1696,Unprovoked,USA,N,2001-2005
1697,Unprovoked,USA,N,2001-2005
1698,Unprovoked,USA,N,2001-2005
1699,Unprovoked,USA,N,2001-2005
1702,Unprovoked,USA,N,2001-2005
1705,Unprovoked,USA,N,2001-2005
1706,Unprovoked,USA,N,2001-2005
1707,Unprovoked,USA,N,2001-2005
1708,Provoked,USA,N,2001-2005
1709,Unprovoked,USA,N,2001-2005
1710,Unprovoked,USA,N,2001-2005
1712,Unprovoked,USA,N,2001-2005
1713,Unprovoked,USA,N,2001-2005
1714,Unprovoked,USA,N,2001-2005
1715,Unprovoked,USA,N,2001-2005
1716,Provoked,USA,N,2001-2005
1718,Unprovoked,USA,N,2001-2005
1719,Unprovoked,USA,N,2001-2005
1720,Unprovoked,USA,N,2001-2005
1721,Unprovoked,USA,N,2001-2005
1724,Unprovoked,SOUTH AFRICA,N,2001-2005
1725,Unprovoked,AUSTRALIA,N,2001-2005
1726,Unprovoked,USA,N,2001-2005
1728,Unprovoked,USA,N,2001-2005
1729,Unprovoked,USA,N,2001-2005
1730,Unprovoked,USA,N,2001-2005
1731,Unprovoked,USA,N,2001-2005
1732,Unprovoked,USA,N,2001-2005
1733,Unprovoked,USA,N,2001-2005
1734,Unprovoked,USA,N,2001-2005
1735,Unprovoked,USA,N,2001-2005
1736,Unprovoked,USA,N,2001-2005
1737,Unprovoked,USA,N,2001-2005
1738,Unprovoked,USA,N,2001-2005
1739,Unprovoked,USA,N,2001-2005
1740,Unprovoked,SOUTH AFRICA,N,2001-2005
1741,Provoked,AUSTRALIA,N,2001-2005
1742,Unprovoked,USA,N,2001-2005
1743,Unprovoked,BRAZIL,N,2001-2005
1744,Unprovoked,AUSTRALIA,N,2001-2005
1745,Unprovoked,USA,N,2001-2005
1746,Unprovoked,USA,N,2001-2005
1748,Unprovoked,BRAZIL,Y,2001-2005
1750,Provoked,AUSTRALIA,N,2001-2005
1752,Unprovoked,AUSTRALIA,N,2001-2005
1753,Provoked,AUSTRALIA,N,2001-2005
1755,Provoked,AUSTRALIA,N,2001-2005
1756,Unprovoked,USA,N,2001-2005
1758,Unprovoked,AUSTRALIA,N,1996-2000
1760,Provoked,AUSTRALIA,N,1996-2000
1762,Unprovoked,AUSTRALIA,N,1996-2000
1764,Unprovoked,AUSTRALIA,N,1996-2000
1766,Unprovoked,USA,N,1996-2000
1768,Unprovoked,AUSTRALIA,N,1996-2000
1769,Unprovoked,AUSTRALIA,Y,1996-2000
1770,Unprovoked,USA,N,1996-2000
1771,Provoked,AUSTRALIA,N,1996-2000
1772,Unprovoked,USA,N,1996-2000
1773,Unprovoked,USA,N,1996-2000
1774,Unprovoked,USA,N,1996-2000
1775,Unprovoked,USA,N,1996-2000
1776,Unprovoked,USA,N,1996-2000
1777,Unprovoked,USA,N,1996-2000
1778,Unprovoked,USA,N,1996-2000
1779,Unprovoked,USA,N,1996-2000
1780,Unprovoked,AUSTRALIA,Y,1996-2000
1781,Unprovoked,AUSTRALIA,Y,1996-2000
1782,Provoked,AUSTRALIA,N,1996-2000
1784,Unprovoked,USA,N,1996-2000
1785,Unprovoked,USA,N,1996-2000
1786,Unprovoked,USA,N,1996-2000
1787,Unprovoked,USA,N,1996-2000
1788,Unprovoked,USA,N,1996-2000
1789,Unprovoked,SOUTH AFRICA,N,1996-2000
1791,Unprovoked,USA,N,1996-2000
1794,Unprovoked,USA,N,1996-2000
1795,Unprovoked,USA,Y,1996-2000
1796,Provoked,USA,N,1996-2000
1797,Unprovoked,USA,N,1996-2000
1798,Unprovoked,USA,N,1996-2000
1799,Unprovoked,USA,N,1996-2000
1800,Unprovoked,USA,N,1996-2000
1804,Unprovoked,USA,N,1996-2000
1805,Unprovoked,USA,N,1996-2000
1806,Unprovoked,USA,N,1996-2000
1807,Unprovoked,USA,N,1996-2000
1808,Unprovoked,SOUTH AFRICA,N,1996-2000
1809,Unprovoked,SOUTH AFRICA,N,1996-2000
1810,Unprovoked,SOUTH AFRICA,N,1996-2000
1812,Unprovoked,USA,N,1996-2000
1813,Unprovoked,USA,N,1996-2000
1814,Unprovoked,USA,N,1996-2000
1815,Unprovoked,USA,N,1996-2000
1816,Unprovoked,USA,N,1996-2000
1817,Unprovoked,USA,N,1996-2000
1818,Unprovoked,USA,N,1996-2000
1819,Unprovoked,USA,N,1996-2000
1821,Unprovoked,PAPUA NEW GUINEA,Y,1996-2000
1823,Unprovoked,USA,N,1996-2000
1824,Provoked,USA,N,1996-2000
1825,Unprovoked,USA,N,1996-2000
1826,Unprovoked,USA,N,1996-2000
1827,Unprovoked,USA,N,1996-2000
1828,Unprovoked,USA,N,1996-2000
1832,Unprovoked,PAPUA NEW GUINEA,N,1996-2000
1833,Unprovoked,PAPUA NEW GUINEA,Y,1996-2000
1834,Unprovoked,USA,N,1996-2000
1835,Unprovoked,USA,N,1996-2000
1836,Unprovoked,USA,N,1996-2000
1837,Unprovoked,AUSTRALIA,N,1996-2000
1838,Unprovoked,USA,N,1996-2000
1839,Unprovoked,USA,N,1996-2000
1841,Unprovoked,AUSTRALIA,N,1996-2000
1842,Provoked,AUSTRALIA,N,1996-2000
1843,Provoked,AUSTRALIA,N,1996-2000
1845,Unprovoked,AUSTRALIA,N,1996-2000
1846,Unprovoked,USA,N,1996-2000
1847,Unprovoked,USA,N,1996-2000
1848,Unprovoked,SOUTH AFRICA,N,1996-2000
1851,Unprovoked,AUSTRALIA,N,1996-2000
1854,Provoked,USA,N,1996-2000
1858,Unprovoked,BRAZIL,N,1996-2000
1861,Unprovoked,USA,N,1996-2000
1862,Unprovoked,USA,N,1996-2000
1863,Unprovoked,USA,N,1996-2000
1864,Unprovoked,USA,N,1996-2000
1865,Unprovoked,SOUTH AFRICA,N,1996-2000
1866,Unprovoked,BRAZIL,N,1996-2000
1869,Unprovoked,USA,N,1996-2000
1870,Unprovoked,USA,N,1996-2000
1871,Unprovoked,USA,N,1996-2000
1872,Unprovoked,USA,N,1996-2000
1873,Unprovoked,USA,N,1996-2000
1875,Unprovoked,USA,N,1996-2000
1876,Unprovoked,USA,N,1996-2000
1877,Unprovoked,USA,N,1996-2000
1878,Provoked,USA,N,1996-2000
1879,Unprovoked,USA,N,1996-2000
1880,Unprovoked,USA,N,1996-2000
1881,Unprovoked,USA,N,1996-2000
1883,Unprovoked,USA,N,1996-2000
1884,Unprovoked,USA,N,1996-2000
1885,Unprovoked,USA,N,1996-2000
1887,Unprovoked,SOUTH AFRICA,N,1996-2000
1888,Unprovoked,USA,N,1996-2000
1889,Unprovoked,USA,N,1996-2000
1890,Unprovoked,SOUTH AFRICA,Y,1996-2000
1891,Unprovoked,USA,N,1996-2000
1892,Unprovoked,USA,N,1996-2000
1893,Unprovoked,SOUTH AFRICA,N,1996-2000
1894,Unprovoked,USA,N,1996-2000
1895,Unprovoked,USA,N,1996-2000
1896,Unprovoked,USA,N,1996-2000
1897,Unprovoked,USA,N,1996-2000
1898,Unprovoked,AUSTRALIA,Y,1996-2000
1899,Unprovoked,BRAZIL,N,1996-2000
1902,Unprovoked,USA,N,1996-2000
1904,Provoked,BRAZIL,N,1996-2000
1905,Unprovoked,USA,Y,1996-2000
1908,Unprovoked,USA,N,1996-2000
1909,Unprovoked,USA,N,1996-2000
1910,Provoked,USA,N,1996-2000
1911,Unprovoked,AUSTRALIA,N,1996-2000
1912,Unprovoked,USA,N,1996-2000
1914,Unprovoked,SOUTH AFRICA,N,1996-2000
1918,Unprovoked,SOUTH AFRICA,N,1996-2000
1920,Provoked,USA,N,1996-2000
1921,Unprovoked,AUSTRALIA,N,1996-2000
1922,Unprovoked,SOUTH AFRICA,N,1996-2000
1923,Unprovoked,SOUTH AFRICA,N,1996-2000
1924,Unprovoked,AUSTRALIA,N,1996-2000
1925,Unprovoked,USA,Y,1996-2000
1926,Unprovoked,USA,N,1996-2000
1927,Unprovoked,USA,N,1996-2000
1928,Unprovoked,USA,N,1996-2000
1930,Unprovoked,BRAZIL,Y,1996-2000
1931,Unprovoked,USA,N,1996-2000
1932,Unprovoked,SOUTH AFRICA,N,1996-2000
1933,Unprovoked,USA,N,1996-2000
1934,Unprovoked,BRAZIL,N,1996-2000
1936,Unprovoked,USA,N,1996-2000
1937,Unprovoked,USA,N,1996-2000
1938,Unprovoked,USA,N,1996-2000
1939,Unprovoked,SOUTH AFRICA,N,1996-2000
1940,Unprovoked,USA,N,1996-2000
1942,Unprovoked,USA,N,1996-2000
1944,Unprovoked,USA,N,1996-2000
1945,Unprovoked,USA,N,1996-2000
1947,Unprovoked,USA,N,1996-2000
1948,Provoked,SOUTH AFRICA,N,1996-2000
1949,Unprovoked,SOUTH AFRICA,N,1996-2000
1950,Unprovoked,SOUTH AFRICA,N,1996-2000
1951,Unprovoked,BRAZIL,N,1996-2000
1952,Unprovoked,USA,N,1996-2000
1953,Unprovoked,SOUTH AFRICA,N,1996-2000
1954,Unprovoked,SOUTH AFRICA,N,1996-2000
1955,Unprovoked,SOUTH AFRICA,N,1996-2000
1956,Unprovoked,AUSTRALIA,Y,1996-2000
1957,Unprovoked,SOUTH AFRICA,Y,1996-2000
1958,Unprovoked,USA,N,1996-2000
1959,Unprovoked,SOUTH AFRICA,N,1996-2000
1960,Unprovoked,SOUTH AFRICA,N,1996-2000
1961,Unprovoked,SOUTH AFRICA,N,1996-2000
1962,Unprovoked,SOUTH AFRICA,N,1996-2000
1963,Unprovoked,USA,N,1996-2000
1964,Unprovoked,USA,N,1996-2000
1965,Unprovoked,USA,N,1996-2000
1966,Unprovoked,SOUTH AFRICA,N,1996-2000
1968,Unprovoked,USA,N,1996-2000
1969,Provoked,USA,N,1996-2000
1970,Unprovoked,BRAZIL,Y,1996-2000
1972,Unprovoked,USA,N,1996-2000
1973,Unprovoked,SOUTH AFRICA,N,1996-2000
1974,Unprovoked,USA,N,1996-2000
1975,Unprovoked,USA,N,1996-2000
1979,Unprovoked,SOUTH AFRICA,N,1996-2000
1980,Unprovoked,AUSTRALIA,N,1996-2000
1982,Unprovoked,SOUTH AFRICA,Y,1996-2000
1984,Unprovoked,USA,N,1996-2000
1985,Unprovoked,SOUTH AFRICA,Y,1996-2000
1986,Unprovoked,SOUTH AFRICA,N,1996-2000
1988,Unprovoked,USA,N,1996-2000
1989,Unprovoked,AUSTRALIA,N,1996-2000
1990,Unprovoked,USA,N,1996-2000
1992,Unprovoked,AUSTRALIA,N,1996-2000
1993,Unprovoked,USA,N,1996-2000
1994,Unprovoked,USA,N,1996-2000
1995,Unprovoked,USA,N,1996-2000
1996,Provoked,SOUTH AFRICA,N,1996-2000
1997,Unprovoked,USA,N,1996-2000
1998,Unprovoked,BRAZIL,Y,1996-2000
1999,Unprovoked,USA,N,1996-2000
2000,Unprovoked,USA,N,1996-2000
2001,Unprovoked,USA,N,1996-2000
2002,Unprovoked,USA,N,1996-2000
2003,Unprovoked,USA,N,1996-2000
2004,Unprovoked,USA,N,1996-2000
2007,Unprovoked,USA,N,1996-2000
2010,Unprovoked,USA,N,1996-2000
2011,Unprovoked,USA,N,1996-2000
2012,Unprovoked,USA,N,1996-2000
2013,Unprovoked,USA,N,1996-2000
2014,Unprovoked,USA,N,1996-2000
2015,Unprovoked,USA,N,1996-2000
2016,Unprovoked,AUSTRALIA,N,1996-2000
2017,Unprovoked,SOUTH AFRICA,Y,1996-2000
2018,Unprovoked,BRAZIL,N,1996-2000
2019,Unprovoked,USA,N,1996-2000
2021,Unprovoked,BRAZIL,N,1996-2000
2022,Unprovoked,USA,N,1996-2000
2024,Unprovoked,USA,N,1996-2000
2026,Unprovoked,USA,N,1996-2000
2027,Unprovoked,USA,N,1996-2000
2028,Unprovoked,USA,N,1996-2000
2029,Unprovoked,USA,N,1996-2000
2032,Unprovoked,BRAZIL,N,1996-2000
2033,Unprovoked,AUSTRALIA,N,1996-2000
2034,Unprovoked,AUSTRALIA,N,1996-2000
2037,Provoked,AUSTRALIA,N,1996-2000
2038,Unprovoked,AUSTRALIA,N,1996-2000
2039,Unprovoked,AUSTRALIA,Y,1996-2000
2041,Provoked,AUSTRALIA,N,1996-2000
2043,Unprovoked,SOUTH AFRICA,N,1996-2000
2046,Unprovoked,USA,N,1996-2000
2047,Unprovoked,USA,N,1996-2000
2048,Unprovoked,BRAZIL,N,1996-2000
2049,Unprovoked,BRAZIL,N,1996-2000
2051,Unprovoked,USA,N,1996-2000
2052,Unprovoked,USA,N,1996-2000
2053,Unprovoked,USA,N,1996-2000
2054,Unprovoked,BRAZIL,N,1996-2000
2055,Unprovoked,USA,N,1996-2000
2057,Unprovoked,USA,N,1996-2000
2058,Unprovoked,USA,N,1996-2000
2059,Unprovoked,USA,N,1996-2000
2061,Provoked,SOUTH AFRICA,N,1996-2000
2062,Unprovoked,USA,N,1996-2000
2063,Unprovoked,USA,N,1996-2000
2064,Unprovoked,USA,N,1996-2000
2065,Unprovoked,USA,N,1996-2000
2068,Unprovoked,USA,N,1996-2000
2069,Unprovoked,USA,N,1996-2000
2071,Unprovoked,USA,N,1996-2000
2072,Unprovoked,USA,N,1996-2000
2074,Unprovoked,USA,N,1996-2000
2075,Unprovoked,AUSTRALIA,N,1996-2000
2076,Unprovoked,SOUTH AFRICA,N,1996-2000
2077,Unprovoked,SOUTH AFRICA,N,1996-2000
2079,Unprovoked,USA,N,1996-2000
2081,Unprovoked,USA,N,1996-2000
2083,Unprovoked,AUSTRALIA,N,1996-2000
2084,Unprovoked,AUSTRALIA,N,1996-2000
2085,Unprovoked,BRAZIL,Y,1996-2000
2086,Unprovoked,AUSTRALIA,N,1996-2000
2087,Unprovoked,AUSTRALIA,N,1996-2000
2088,Unprovoked,AUSTRALIA,N,1996-2000
2089,Provoked,USA,N,1996-2000
2090,Unprovoked,PAPUA NEW GUINEA,Y,1996-2000
2091,Unprovoked,PAPUA NEW GUINEA,N,1996-2000
2092,Unprovoked,PAPUA NEW GUINEA,Y,1996-2000
2094,Unprovoked,AUSTRALIA,N,1996-2000
2095,Provoked,USA,N,1996-2000
2096,Unprovoked,AUSTRALIA,N,1996-2000
2097,Unprovoked,USA,N,1996-2000
2099,Provoked,AUSTRALIA,N,1996-2000
2102,Unprovoked,USA,N,1996-2000
2107,Unprovoked,AUSTRALIA,N,1991-1995
2108,Unprovoked,USA,N,1991-1995
2109,Unprovoked,USA,N,1991-1995
2110,Unprovoked,AUSTRALIA,N,1991-1995
2111,Unprovoked,USA,N,1991-1995
2112,Unprovoked,USA,N,1991-1995
2113,Unprovoked,USA,N,1991-1995
2114,Unprovoked,USA,N,1991-1995
2115,Unprovoked,USA,N,1991-1995
2116,Unprovoked,USA,N,1991-1995
2118,Unprovoked,USA,Y,1991-1995
2119,Unprovoked,AUSTRALIA,Y,1991-1995
2120,Unprovoked,USA,N,1991-1995
2122,Unprovoked,USA,N,1991-1995
2123,Unprovoked,USA,N,1991-1995
2124,Unprovoked,BRAZIL,N,1991-1995
2125,Unprovoked,USA,N,1991-1995
2126,Unprovoked,USA,N,1991-1995
2127,Unprovoked,USA,N,1991-1995
2128,Unprovoked,USA,N,1991-1995
2129,Unprovoked,USA,N,1991-1995
2130,Unprovoked,USA,N,1991-1995
2132,Unprovoked,USA,N,1991-1995
2134,Unprovoked,USA,N,1991-1995
2135,Unprovoked,USA,N,1991-1995
2136,Unprovoked,USA,N,1991-1995
2139,Unprovoked,USA,N,1991-1995
2140,Unprovoked,USA,N,1991-1995
2141,Unprovoked,USA,N,1991-1995
2142,Unprovoked,USA,N,1991-1995
2143,Unprovoked,USA,N,1991-1995
2144,Unprovoked,USA,N,1991-1995
2145,Unprovoked,USA,N,1991-1995
2147,Unprovoked,BRAZIL,Y,1991-1995
2148,Unprovoked,USA,N,1991-1995
2149,Provoked,USA,N,1991-1995
2150,Provoked,USA,N,1991-1995
2151,Unprovoked,USA,N,1991-1995
2152,Unprovoked,USA,N,1991-1995
2153,Unprovoked,USA,N,1991-1995
2154,Unprovoked,USA,N,1991-1995
2155,Unprovoked,USA,N,1991-1995
2156,Unprovoked,USA,N,1991-1995
2157,Unprovoked,USA,N,1991-1995
2161,Unprovoked,USA,N,1991-1995
2166,Unprovoked,USA,N,1991-1995
2167,Unprovoked,AUSTRALIA,N,1991-1995
2169,Unprovoked,AUSTRALIA,N,1991-1995
2170,Unprovoked,AUSTRALIA,N,1991-1995
2171,Unprovoked,BRAZIL,Y,1991-1995
2172,Unprovoked,SOUTH AFRICA,N,1991-1995
2174,Unprovoked,SOUTH AFRICA,Y,1991-1995
2175,Unprovoked,BRAZIL,N,1991-1995
2177,Provoked,AUSTRALIA,N,1991-1995
2180,Unprovoked,SOUTH AFRICA,N,1991-1995
2181,Unprovoked,USA,N,1991-1995
2182,Unprovoked,BRAZIL,N,1991-1995
2183,Unprovoked,BRAZIL,N,1991-1995
2186,Unprovoked,USA,Y,1991-1995
2187,Unprovoked,BRAZIL,Y,1991-1995
2188,Unprovoked,SOUTH AFRICA,N,1991-1995
2189,Unprovoked,USA,N,1991-1995
2190,Unprovoked,USA,N,1991-1995
2191,Unprovoked,BRAZIL,N,1991-1995
2192,Unprovoked,BRAZIL,N,1991-1995
2193,Provoked,USA,N,1991-1995
2194,Unprovoked,USA,N,1991-1995
2195,Unprovoked,USA,N,1991-1995
2196,Unprovoked,USA,N,1991-1995
2197,Unprovoked,USA,Y,1991-1995
2198,Unprovoked,USA,N,1991-1995
2200,Unprovoked,BRAZIL,N,1991-1995
2201,Unprovoked,BRAZIL,Y,1991-1995
2203,Unprovoked,SOUTH AFRICA,Y,1991-1995
2204,Unprovoked,SOUTH AFRICA,N,1991-1995
2205,Unprovoked,BRAZIL,N,1991-1995
2206,Unprovoked,USA,N,1991-1995
2208,Unprovoked,USA,N,1991-1995
2209,Unprovoked,USA,N,1991-1995
2210,Unprovoked,USA,N,1991-1995
2211,Unprovoked,USA,N,1991-1995
2212,Unprovoked,USA,N,1991-1995
2213,Unprovoked,USA,N,1991-1995
2217,Unprovoked,USA,N,1991-1995
2218,Unprovoked,SOUTH AFRICA,Y,1991-1995
2221,Provoked,USA,N,1991-1995
2222,Unprovoked,BRAZIL,N,1991-1995
2223,Unprovoked,SOUTH AFRICA,N,1991-1995
2224,Unprovoked,USA,N,1991-1995
2225,Provoked,USA,N,1991-1995
2226,Unprovoked,SOUTH AFRICA,N,1991-1995
2228,Unprovoked,BRAZIL,N,1991-1995
2229,Unprovoked,USA,Y,1991-1995
2230,Unprovoked,SOUTH AFRICA,N,1991-1995
2231,Provoked,AUSTRALIA,N,1991-1995
2232,Unprovoked,AUSTRALIA,N,1991-1995
2233,Unprovoked,SOUTH AFRICA,N,1991-1995
2235,Unprovoked,USA,N,1991-1995
2236,Unprovoked,USA,Y,1991-1995
2237,Unprovoked,USA,N,1991-1995
2238,Unprovoked,AUSTRALIA,Y,1991-1995
2239,Unprovoked,USA,N,1991-1995
2241,Unprovoked,USA,N,1991-1995
2242,Unprovoked,USA,N,1991-1995
2243,Provoked,USA,N,1991-1995
2244,Unprovoked,USA,N,1991-1995
2246,Unprovoked,SOUTH AFRICA,N,1991-1995
2249,Unprovoked,USA,N,1991-1995
2250,Unprovoked,USA,N,1991-1995
2253,Unprovoked,USA,N,1991-1995
2254,Unprovoked,USA,N,1991-1995
2255,Provoked,USA,N,1991-1995
2256,Unprovoked,USA,N,1991-1995
2257,Provoked,AUSTRALIA,N,1991-1995
2258,Unprovoked,USA,N,1991-1995
2261,Unprovoked,SOUTH AFRICA,N,1991-1995
2262,Unprovoked,USA,N,1991-1995
2263,Unprovoked,BRAZIL,Y,1991-1995
2267,Unprovoked,USA,N,1991-1995
2268,Unprovoked,AUSTRALIA,Y,1991-1995
2269,Unprovoked,AUSTRALIA,Y,1991-1995
2271,Unprovoked,USA,N,1991-1995
2275,Unprovoked,BRAZIL,N,1991-1995
2276,Unprovoked,USA,N,1991-1995
2278,Unprovoked,USA,N,1991-1995
2279,Unprovoked,USA,N,1991-1995
2283,Provoked,AUSTRALIA,N,1991-1995
2284,Unprovoked,BRAZIL,N,1991-1995
2285,Unprovoked,AUSTRALIA,N,1991-1995
2287,Unprovoked,USA,N,1991-1995
2291,Unprovoked,USA,N,1991-1995
2292,Unprovoked,USA,N,1991-1995
2293,Unprovoked,USA,N,1991-1995
2294,Unprovoked,USA,N,1991-1995
2295,Unprovoked,USA,N,1991-1995
2296,Unprovoked,USA,N,1991-1995
2297,Provoked,USA,N,1991-1995
2299,Unprovoked,USA,N,1991-1995
2300,Unprovoked,USA,N,1991-1995
2301,Unprovoked,USA,Y,1991-1995
2302,Unprovoked,USA,N,1991-1995
2303,Unprovoked,USA,N,1991-1995
2304,Unprovoked,AUSTRALIA,N,1991-1995
2305,Unprovoked,BRAZIL,N,1991-1995
2306,Unprovoked,AUSTRALIA,Y,1991-1995
2307,Unprovoked,BRAZIL,N,1991-1995
2308,Unprovoked,USA,N,1991-1995
2309,Unprovoked,USA,N,1991-1995
2310,Unprovoked,BRAZIL,Y,1991-1995
2311,Unprovoked,USA,N,1991-1995
2313,Unprovoked,AUSTRALIA,N,1991-1995
2315,Unprovoked,USA,N,1991-1995
2316,Provoked,USA,N,1991-1995
2319,Unprovoked,USA,N,1991-1995
2320,Unprovoked,BRAZIL,N,1991-1995
2321,Unprovoked,BRAZIL,N,1991-1995
2322,Unprovoked,BRAZIL,Y,1991-1995
2331,Unprovoked,SOUTH AFRICA,N,1991-1995
2332,Unprovoked,USA,N,1991-1995
2333,Unprovoked,AUSTRALIA,N,1991-1995
2336,Unprovoked,USA,N,1991-1995
2337,Unprovoked,USA,Y,1991-1995
2341,Unprovoked,AUSTRALIA,N,1991-1995
2342,Unprovoked,SOUTH AFRICA,N,1991-1995
2343,Unprovoked,SOUTH AFRICA,N,1991-1995
2348,Unprovoked,USA,N,1991-1995
2349,Unprovoked,USA,Y,1991-1995
2350,Unprovoked,USA,N,1991-1995
2351,Unprovoked,USA,Y,1991-1995
2352,Provoked,USA,N,1991-1995
2353,Unprovoked,AUSTRALIA,N,1991-1995
2354,Unprovoked,USA,N,1991-1995
2355,Unprovoked,USA,N,1991-1995
2357,Unprovoked,AUSTRALIA,Y,1991-1995
2358,Provoked,AUSTRALIA,N,1991-1995
2359,Unprovoked,USA,N,1991-1995
2360,Unprovoked,USA,N,1991-1995
2361,Provoked,USA,N,1991-1995
2363,Unprovoked,USA,N,1991-1995
2364,Unprovoked,USA,N,1991-1995
2365,Unprovoked,USA,N,1991-1995
2367,Unprovoked,USA,N,1991-1995
2371,Unprovoked,USA,N,1991-1995
2372,Unprovoked,USA,N,1991-1995
2374,Unprovoked,USA,N,1991-1995
2375,Unprovoked,SOUTH AFRICA,N,1991-1995
2376,Provoked,BRAZIL,N,1991-1995
2377,Provoked,USA,N,1991-1995
2378,Unprovoked,USA,N,1991-1995
2379,Unprovoked,USA,N,1991-1995
2380,Unprovoked,AUSTRALIA,N,1991-1995
2381,Unprovoked,USA,N,1991-1995
2382,Unprovoked,SOUTH AFRICA,N,1991-1995
2383,Unprovoked,AUSTRALIA,N,1991-1995
2384,Unprovoked,AUSTRALIA,N,1991-1995
2385,Unprovoked,AUSTRALIA,N,1991-1995
